Layer,Name,GEOID,POP_2020-2024
,,,"Population (residents), 2020-2024"
Community area,Rogers Park,1,54023.51405
Community area,Norwood Park,10,42638.43086
Community area,Jefferson Park,11,26634.54233
Community area,Forest Glen,12,19886.37507
Community area,North Park,13,18307.61022
Community area,Albany Park,14,45707.82126
Community area,Portage Park,15,63049.27293
Community area,Irving Park,16,53301.72043
Community area,Dunning,17,41208.04599
Community area,Montclare,18,14290.31083
Community area,Belmont Cragin,19,72131.65463
Community area,West Ridge,2,78390.30822
Community area,Hermosa,20,22644.71784
Community area,Avondale,21,35520.90178
Community area,Logan Square,22,71426.58839
Community area,Humboldt Park,23,55766.95533
Community area,West Town,24,88181.67603
Community area,Austin,25,97671.1108
Community area,West Garfield Park,26,15086.16255
Community area,East Garfield Park,27,20739.82582
Community area,Near West Side,28,68097.6475
Community area,North Lawndale,29,33979.92102
Community area,Uptown,3,54490.99263
Community area,South Lawndale,30,69830.03688
Community area,Lower West Side,31,33412.04159
Community area,Loop,32,43756.84988
Community area,Near South Side,33,28903.9369
Community area,Armour Square,34,13821.73562
Community area,Douglas,35,21090.85064
Community area,Oakland,36,6940.063702
Community area,Fuller Park,37,2340.517806
Community area,Grand Boulevard,38,25177.24906
Community area,Kenwood,39,18427.5253
Community area,Lincoln Square,4,41565.11288
Community area,Washington Park,40,12314.66841
Community area,Hyde Park,41,30600.29144
Community area,Woodlawn,42,24802.5642
Community area,South Shore,43,51377.59421
Community area,Chatham,44,30021.41506
Community area,Avalon Park,45,8939.367648
Community area,South Chicago,46,27507.14761
Community area,Burnside,47,2292.961299
Community area,Calumet Heights,48,11227.30847
Community area,Roseland,49,36745.38199
Community area,North Center,5,36047.30897
Community area,Pullman,50,6783.76006
Community area,South Deering,51,12875.86081
Community area,East Side,52,22700.6946
Community area,West Pullman,53,24421.34461
Community area,Riverdale,54,7483.432139
Community area,Hegewisch,55,8767.938562
Community area,Garfield Ridge,56,36657.21625
Community area,Archer Heights,57,13492.19323
Community area,Brighton Park,58,43145.7122
Community area,McKinley Park,59,14856.23139
Community area,Lake View,6,102824.8287
Community area,Bridgeport,60,33542.92299
Community area,New City,61,39952.20609
Community area,West Elsdon,62,17758.84349
Community area,Gage Park,63,36010.47481
Community area,Clearing,64,23667.36789
Community area,West Lawn,65,31827.03352
Community area,Chicago Lawn,66,54300.34536
Community area,West Englewood,67,28311.7057
Community area,Englewood,68,23160.93952
Community area,Greater Grand Crossing,69,29219.18401
Community area,Lincoln Park,7,67920.59158
Community area,Ashburn,70,42179.8618
Community area,Auburn Gresham,71,43860.69939
Community area,Beverly,72,19553.60888
Community area,Washington Heights,73,24755.829
Community area,Mount Greenwood,74,19064.08435
Community area,Morgan Park,75,21410.01294
Community area,O'Hare,76,15286.6051
Community area,Edgewater,77,56573.00067
Community area,Near North Side,8,99292.48607
Community area,Edison Park,9,11554.19191
