ablation_id	removed_features	num_features_removed	baseline_cv_rmse	cv_rmse	rmse_change_pct	runtime_sec	memory_mb	decision	reason	status
1	NONE	0	0.039873	0.037575	5.76	0.0142	0.38	KEPT	Performance improved 5.76%	COMPLETE
2	Adult diabetes	1	0.039873	0.047965	-20.29	0.0079	0.01	DISCARDED	Performance regression 20.29%	COMPLETE
3	Employment-based health insurance	1	0.039873	0.037152	6.83	0.0106	0.0	KEPT	Performance improved 6.83%	COMPLETE
4	Annual dental cleaning rate	1	0.039873	0.036427	8.64	0.011	0.0	KEPT	Performance improved 8.64%	COMPLETE
5	Primary care provider rate	1	0.039873	0.037222	6.65	0.0111	0.0	KEPT	Performance improved 6.65%	COMPLETE
6	Routine checkup rate	1	0.039873	0.037318	6.41	0.0107	0.0	KEPT	Performance improved 6.41%	COMPLETE
7	Health care satisfaction rate	1	0.039873	0.037415	6.17	0.0106	0.0	KEPT	Performance improved 6.17%	COMPLETE
8	Eviction rate	1	0.039873	0.036775	7.77	0.0091	0.0	KEPT	Performance improved 7.77%	COMPLETE
9	Adult loneliness rate	1	0.039873	0.037189	6.73	0.0121	0.0	KEPT	Performance improved 6.73%	COMPLETE
10	Moderate or serious psychological distress rate	1	0.039873	0.037473	6.02	0.0119	0.0	KEPT	Performance improved 6.02%	COMPLETE
11	unmet mh trt mod to ser	1	0.039873	0.037091	6.98	0.0117	0.0	KEPT	Performance improved 6.98%	COMPLETE
12	unmet mh trt mod to ser.1	1	0.039873	0.037357	6.31	0.0104	0.01	KEPT	Performance improved 6.31%	COMPLETE
13	Hypertension rate	1	0.039873	0.038067	4.53	0.0117	0.0	KEPT	Performance improved 4.53%	COMPLETE
14	Median household income, 2020-2024	1	0.039873	0.038239	4.1	0.0085	0.0	KEPT	Performance improved 4.10%	COMPLETE
15	Hardship Index	1	0.039873	0.037245	6.59	0.0114	0.0	KEPT	Performance improved 6.59%	COMPLETE
16	Demographics, White	1	0.039873	0.036571	8.28	0.0162	0.0	KEPT	Performance improved 8.28%	COMPLETE
17	Ambulatory difficulty	1	0.039873	0.037186	6.74	0.0118	0.0	KEPT	Performance improved 6.74%	COMPLETE
18	population	1	0.039873	0.045158	-13.25	0.0162	0.0	DISCARDED	Performance regression 13.25%	COMPLETE
19	Annual dental cleaning rate,Demographics, White	2	0.039873	0.035509	10.95	0.0111	0.0	KEPT	Performance improved 10.95%	COMPLETE
