exp_id	model	imputer	data_strategy	baseline_rmse	cv_rmse	rmse_improvement_pct	runtime_sec	memory_mb	decision	reason	status
1	Ridge_alpha10	SimpleImputer	raw	0.047494	0.046153	2.82	0.0213	0.39	KEPT	Performance improved 2.82%	COMPLETE
2	Lasso_alpha0.1	SimpleImputer	raw	0.047494	0.035011	26.28	0.0138	0.1	KEPT	Performance improved 26.28%	COMPLETE
3	ElasticNet_alpha0.1	SimpleImputer	raw	0.047494	0.036339	23.49	0.0099	0.0	KEPT	Performance improved 23.49%	COMPLETE
4	RandomForest_n50	SimpleImputer	raw	0.047494	0.044218	6.9	0.4128	0.25	KEPT	Performance improved 6.90%	COMPLETE
5	GradBoost_n10	SimpleImputer	raw	0.047494	0.046882	1.29	0.0461	0.09	KEPT	Performance improved 1.29%	COMPLETE
6	Ridge_alpha10	SimpleImputer	standardized	0.047494	0.042368	10.79	0.0198	0.0	KEPT	Performance improved 10.79%	COMPLETE
7	Lasso_alpha0.1	SimpleImputer	standardized	0.047494	0.056547	-19.06	0.0165	0.0	DISCARDED	Performance regression 19.06%	COMPLETE
8	ElasticNet_alpha0.1	SimpleImputer	standardized	0.047494	0.056547	-19.06	0.0192	0.0	DISCARDED	Performance regression 19.06%	COMPLETE
9	RandomForest_n50	SimpleImputer	standardized	0.047494	0.04301	9.44	0.4299	0.02	KEPT	Performance improved 9.44%	COMPLETE
10	GradBoost_n10	SimpleImputer	standardized	0.047494	0.046524	2.04	0.0526	0.0	KEPT	Performance improved 2.04%	COMPLETE
11	Ridge_alpha10	SimpleImputer	log_transformed	0.047494	0.037189	21.7	0.0112	0.0	KEPT	Performance improved 21.70%	COMPLETE
12	Lasso_alpha0.1	SimpleImputer	log_transformed	0.047494	0.056547	-19.06	0.0138	0.0	DISCARDED	Performance regression 19.06%	COMPLETE
13	ElasticNet_alpha0.1	SimpleImputer	log_transformed	0.047494	0.056547	-19.06	0.0138	0.0	DISCARDED	Performance regression 19.06%	COMPLETE
14	RandomForest_n50	SimpleImputer	log_transformed	0.047494	0.044448	6.41	0.3599	0.03	KEPT	Performance improved 6.41%	COMPLETE
15	GradBoost_n10	SimpleImputer	log_transformed	0.047494	0.046603	1.88	0.0417	0.0	KEPT	Performance improved 1.88%	COMPLETE
16	Ridge_alpha10	SimpleImputer	log_standardized	0.047494	0.039873	16.05	0.0153	0.0	KEPT	Performance improved 16.05%	COMPLETE
17	Lasso_alpha0.1	SimpleImputer	log_standardized	0.047494	0.056547	-19.06	0.0195	0.0	DISCARDED	Performance regression 19.06%	COMPLETE
18	ElasticNet_alpha0.1	SimpleImputer	log_standardized	0.047494	0.056547	-19.06	0.0174	0.0	DISCARDED	Performance regression 19.06%	COMPLETE
19	RandomForest_n50	SimpleImputer	log_standardized	0.047494	0.043367	8.69	0.3746	0.0	KEPT	Performance improved 8.69%	COMPLETE
20	GradBoost_n10	SimpleImputer	log_standardized	0.047494	0.045083	5.08	0.0511	0.0	KEPT	Performance improved 5.08%	COMPLETE
